case_id,title,preconditions,steps,expected_result,obtained_result,observations,exec_count,test_status,feature_name,sprint,created_at,module
1. HU 6217-5,Activar boton Eliminar Productos y Agregar al carrito,,1) 1. LogIn en el portal Metaldon. 2) 2. Seleccionar un cliente con su proyecto correspondiente. 3) 3. Clic en la opción de menú Cotizacion. 4) 4. Clic en e carrito de compras - pestaña Lista de espera. 5) 5. Clic en el botón Gestionar mi lista de espera. 6) 6. Clic rn la pestaña Disponibles. 7) 7. Clic en el Check Box de los productos de la lista.,,"7. Se activan los botones ""Eliminar productos"" y ""Agregar al carrito""",,1,No se ejecutó ,Botones en gestionar mi ista de espera,8,2025-03-04,Gestionar Mi lista de espera - Disponibles	
1. HU 6217-6,Eliminar producto en la pestaña Disponibles,,"1) 1. LogIn en el portal Metaldon. 2) 2. Seleccionar un cliente con su proyecto correspondiente. 3) 3. Clic en la opción de menú Cotizacion. 4) 4. Clic en e carrito de compras - pestaña Lista de espera. 5) 5. Clic en el botón Gestionar mi lista de espera. 6) 6. Clic rn la pestaña Disponibles. 7) 7. Clic en el Check Box de los productos de la lista. 8) 8. Clic en el botón ""Eliminar Productos"".",,8. El producto desaparece de la lista en la pestaña Disponibles,,1,No se ejecutó ,Botones en gestionar mi ista de espera,8,2025-03-04,Gestionar Mi lista de espera - Disponibles	
1. HU 6217-7,Agregar al carrito desde la pestaña Disponibles,,"1) 1. LogIn en el portal Metaldon. 2) 2. Seleccionar un cliente con su proyecto correspondiente. 3) 3. Clic en la opción de menú Cotizacion. 4) 4. Clic en e carrito de compras - pestaña Lista de espera. 5) 5. Clic en el botón Gestionar mi lista de espera. 6) 6. Clic rn la pestaña Disponibles. 7) 7. Clic en el Check Box de los productos de la lista. 8) 8. Clic en el botón ""Agregar al carrito"".",,8. El producto desaparece de la lista en la pestaña Disponibles y es agregado al carrito de compras en la pestaña Tus productos,,1,No se ejecutó ,Botones en gestionar mi ista de espera,8,2025-03-04,Gestionar Mi lista de espera - Disponibles	
1-HU1-1,Visualización de la opción 'Cotización' en el menú izquierdo tras cargar la Bandeja de Entrada Cliente,Haber accedido al 'Portal de Clientes',"1) 1. Filtrar el cliente que quiere hacer la cotización por RNC, nombre o Codigo SAP en el componente de ""Mis Clientes"". 2) 2. Hacer clic en la flecha hacia la derecha de fondo azul que aparece en la ultima columna. 3) 3. En el modal de datos del cliente que se abre hacer clic en el boton ""Ir a ver Como"" de la parte inferior. 4) 4. Revisar el menú izquierdo.",La opción 'Cotización' aparece correctamente en el menú izquierdo.,La opción 'Cotización' aparece correctamente en el menú izquierdo.,La página se tarda en cargar,3,Ejecución exitosa,Ingresar al módulo de cotizaciones,1,2025-03-01,General	
1-HU1-2,Redirección a la página de Cotizaciones al hacer clic en 'Cotización',Haber accedido al 'Portal de Clientes y cargado la información del cliente,1) 1. Hacer clic en la opción 'Cotización' del menú izquierdo.,El usuario es redirigido correctamente a la página de Cotizaciones.,El usuario es redirigido correctamente a la página de Cotizaciones.,La página se tarda en cargar,3,Ejecución exitosa,Ingresar al módulo de cotizaciones,1,2025-03-01,General	
1-HU1-3,Cargar la página de Cotizaciones en menos de 3 segundos,Haber accedido al 'Portal de Clientes y cargado la información del cliente,1) 1. Hacer clic en la opción 'Cotización' del menú izquierdo.,La página de Cotizaciones carga correctamente en menos de 3 segundos. (Prueba de carga),La página de Cotizaciones no carga correctamente en menos de 3 segundos.(Prueba de carga),La página se tarda en cargar,2,No ejecutada,Ingresar al módulo de cotizaciones,1,2025-03-01,General	
1-HU1-4,Contenido correcto en la página de Cotizaciones tras la redirección,Haber accedido al 'Portal de Clientes y cargado la información del cliente,1) 1. Hacer clic en la opción 'Cotización' del menú izquierdo. 2) 2. Revisar el contenido de la página de Cotizaciones.,El contenido de la página de Cotizaciones es visible y correcto.,El contenido de la página de Cotizaciones es visible y correcto.,La página se tarda en cargar,3,Ejecución exitosa,Ingresar al módulo de cotizaciones,1,2025-03-01,General	
1-HU2-1,Visualización de ficha técnica al seleccionar una categoría,Haberse logueado en el portal clientes y accedido a la opción de cotizaciones,1) 1. Seleccionar una categoría.,Se muestra la ficha técnica de la categoría seleccionada con información relevante.,Se muestra la ficha técnica de la categoría seleccionada con información relevante.,,3,Ejecución exitosa,Mostrar Categoría de Productos,1,2025-03-01,General	
1-HU2-2,Información completa en la ficha técnica de cada categoría,Haberse logueado en el portal clientes y accedido a la opción de cotizaciones,"1) 1. .Acceder a la ficha técnica de diferentes categorías. 2) 2. Comprobar que la ficha técnica de cada categoría contenga todos los datos necesarios, como descripción, características y especificaciones.",Todas las fichas técnicas están completas y correctamente visibles.,,No tengo manera de contrastar la información,0,No se ejecutó ,Mostrar Categoría de Productos,1,2025-03-01,General	
1-HU2-3,Visualización de subproductos al seleccionar una categoría,Haberse logueado en el portal clientes y accedido a la opción de cotizaciones,1) 1. Seleccionar una categoría. 2) 2. Revisar la lista de subproductos mostrados.,Se muestran los subproductos relacionados,Se muestran los subproductos relacionados,,3,Ejecución exitosa,Mostrar Categoría de Productos,1,2025-03-01,General	
1-HU2-4,Visualización de unidad de medida de los subproductos,Haberse logueado en el portal clientes y accedido a la opción de cotizaciones,1) 1. Seleccionar una categoría. 2) 2. Revisar la lista de subproductos mostrados.,Los subproductos incluyen su unidad de medida,Los subproductos incluyen su unidad de medida,,3,Ejecución exitosa,Mostrar Categoría de Productos,1,2025-03-01,General	
1-HU2-5,"Visualización de los SKU's con foto, descripción de la categoría y precio",Haberse logueado en el portal clientes y accedido a la opción de cotizaciones,"1) 1. Seleccionar una categoría. 2) 2. Acceder a los subproductos de una categoría. 3) 3.  Comprobar que cada SKU muestre su foto, nombre o descripción de la categoria, y precio.","Cada SKU tiene una foto visible, una descripción breve y el precio correcto.",Cada SKU tiene una descripción breve y el precio correcto.,Se definió que los productos no llevarán imagenes (En la reunión de Refinamiento),3,Ejecución exitosa,Mostrar Categoría de Productos,1,2025-03-01,General	
1-HU2-6,Visualización de rangos de precios en las categorías,Haberse logueado en el portal clientes y accedido a la opción de cotizaciones,"1) 1. Seleccionar una categoría. 2) 2. Verificar que al ingresar a una categoría, se muestre su rango de precios (del menor al mayor).","El rango de precios de la categoría se muestra correctamente (por ejemplo, $10 - $100)","El rango de precios de la categoría se muestra correctamente (por ejemplo, $10 - $100)",,3,Ejecución exitosa,Mostrar Categoría de Productos,1,2025-03-01,General	
1-HU2-7,Cálculo del precio total al seleccionar un subproducto y cantidad,Haberse logueado en el portal clientes y accedido a la opción de cotizaciones,1) 1. Seleccionar una categoria. 2) 2. Seleccionar un subproducto. 3) 3. Ingresar una cantidad y verificar el precio total.,El precio total se calcula correctamente según la cantidad seleccionada.,El precio total se calcula correctamente según la cantidad seleccionada.,,3,Ejecución exitosa,Mostrar Categoría de Productos,1,2025-03-01,General	
1-HU2-8,"Visualización del precio, cantidad y unidad de medida al seleccionar un subproducto",Haberse logueado en el portal clientes y accedido a la opción de cotizaciones,1) 1. Seleccionar una categoria. 2) 2. Seleccionar un subproducto e ingresar una cantidad..,"El precio, la cantidad y la unidad de medida se muestran correctamente.","El precio, la cantidad y la unidad de medida se muestran correctamente.",,3,Ejecución exitosa,Mostrar Categoría de Productos,1,2025-03-01,General	
1-HU3-1,Visualización de la ficha técnica al seleccionar una foto de categoría,Haberse logueado en el portal clientes y accedido a la opción de cotizaciones,1) 1. Hacer clic en la foto de una categoría.,La ficha técnica de la categoría seleccionada se muestra correctamente.,La ficha técnica de la categoría seleccionada se muestra correctamente.,,3,Ejecución exitosa,Ver Detalles de los productos,1,2024-12-27,General	
1-HU3-2,Contenido completo en la ficha técnica,Haberse logueado en el portal clientes y accedido a la opción de cotizaciones,1) 1. Hacer clic en la foto de una categoría.,Toda la información de la ficha técnica es visible y está completa.,,Se requiere validar si la ficha está completa,0,No se ejecutó ,Ver Detalles de los productos,1,2024-12-27,General	
1-HU3-3,Visualización de la unidad de medida de los productos por categoría,Haberse logueado en el portal clientes y accedido a la opción de cotizaciones,1) 1. Seleccionar una categoría desde su foto.,Se muestra la cantidad de productos junto con su unidad de medida.,La ficha técnica de la categoría seleccionada se muestra correctamente.,,3,Ejecución exitosa,Ver Detalles de los productos,1,2024-12-27,General	
1-HU4-1,Visualización de precios específicos según el usuario registrado,Haberse logueado en el portal clientes y accedido a la opción de cotizaciones,1) 1. Seleccionar un producto y verificar su precio. 2) 2. Cerrar sesión e iniciar sesión con otro usuario. 3) 3. Seleccionar el mismo producto y verificar su precio.,El precio mostrado para el producto varía según el usuario registrado.,,,0,El componente no esta listo,Jerarquizar precios,1,2024-12-27,General	
1-HU4-2,Visualización del precio correcto para un usuario específico,Haberse logueado en el portal clientes y accedido a la opción de cotizaciones,1) 1. Verificar el precio del producto para un usuario en la base de datos. 2) 2. Iniciar sesión con ese usuario en la aplicación. 3) 3. Seleccionar el producto y verificar el precio mostrado.,El precio mostrado coincide con el precio asignado en la base de datos.,,,0,El componente no esta listo,Jerarquizar precios,1,2024-12-27,General	
1-HU4-3,Actualización de precios reflejada en tiempo real en la interfaz,Haberse logueado en el portal clientes y accedido a la opción de cotizaciones,1) 1. Actualizar el precio de un producto para un usuario específico en la base de datos. 2) 2. Seleccionar el producto y verificar el precio actualizado.,El precio actualizado en la base de datos se refleja correctamente en la interfaz.,,,0,El componente no esta listo,Jerarquizar precios,1,2024-12-27,General	
1-HU4-4,"Visualización del precio solo tras seleccionar producto, cantidad y unidad de medida",Haberse logueado en el portal clientes y accedido a la opción de cotizaciones,1) 1. Seleccionar una categoria. 2) 2. Seleccionar un producto. 3) 3. Revisar si se muestra el precio sin haber seleccionado la cantidad y la unidad de medida. 4) 4. Seleccionar la cantidad y la unidad de medida.,El precio solo se muestra tras seleccionar la cantidad y la unidad de medida.,El precio solo se muestra tras seleccionar la cantidad y la unidad de medida.,,3,Ejecución exitosa,Jerarquizar precios,1,2024-12-27,General	
1-HU4-5,Cálculo del precio total al seleccionar cantidad y unidad de medida,Haberse logueado en el portal clientes y accedido a la opción de cotizaciones,1) 1. Seleccionar un producto en la aplicación. 2) 2. Ingresar una cantidad y seleccionar la unidad de medida. 3) 3. Verificar el precio total mostrado.,El precio total se calcula correctamente.,El precio total se calcula correctamente.,,3,Ejecución exitosa,Jerarquizar precios,1,2024-12-27,General	
2-HU1-1,Agregar un producto al carrito,El usuario está en la pantalla de productos.,"1) 2. Visualizar la opción de ""Agregar al carrito"". 2) 3. Hacer clic en el botón ""Agregar al carrito"".","El producto seleccionado se agrega al carrito, y el número de items se actualiza correctamente.","El producto seleccionado se agrega al carrito, y el número de items se actualiza correctamente.","El ícono de campana actúa como enlace al carrito, lo cual puede generar confusión para el usuario, ya que la expectativa es que se utilice un ícono que represente claramente el carrito de compras o algo relacionado.",3,Ejecución exitosa,Agregar productos al carrito,2,2025-01-03,General	
2-HU1-2,Visualización de cantidades en el carrito,El usuario tiene productos en el carrito.,1) 2. Hacer clic en el ícono del carrito. 2) 3. Revisar las cantidades de los productos en la pantalla del carrito.,Las cantidades son editables y reflejan los productos agregados.,Las cantidades son editables y reflejan los productos agregados.,,3,Ejecución exitosa,Agregar productos al carrito,2,2025-01-03,General	
2-HU1-3,Eliminar un producto del carrito,El usuario tiene al menos un producto en el carrito.,1) 2. Hacer clic en el ícono del carrito. 2) 3. Seleccionar un producto y eliminarlo.,El producto seleccionado se elimina del carrito y el total se actualiza.,El producto seleccionado se elimina del carrito y el total se actualiza.,,3,Ejecución exitosa,Agregar productos al carrito,2,2025-01-03,General	
2-HU1-4,Persistencia del carrito,El usuario tiene productos en el carrito.,1) 2. Salir del portal o cerrar la aplicación. 2) 3. Volver a ingresar y revisar el carrito.,Los productos en el carrito permanecen almacenados.,Los productos en el carrito no permanecen almacenados.cuando se cierra el navegador,,2,Falló en su ejecución,Agregar productos al carrito,2,2025-01-03,General	
2-HU1-5,Visualización del precio total e individual,El usuario tiene al menos un producto en el carrito.,1) 2. Ir a la pantalla del carrito.,Se muestran los precios individuales y el total de la cotización.,"Existen los campos de precio individual, el total por producto y del total de la cotizacion",,3,Ejecución exitosa,Agregar productos al carrito,2,2025-01-03,General	
2-HU1-6,Visualización del número de cotización,El usuario tiene productos en el carrito.,1) 2. Ir a la pantalla del carrito.,Se muestra correctamente el número de la cotización.,Se muestra correctamente el número de la cotización.,,3,Ejecución exitosa,Agregar productos al carrito,2,2025-01-03,General	
2-HU1-7,Agregar al carrito sin seleccionar un producto,Ningún producto está seleccionado.,"1) 2. Hacer clic en ""Agregar al carrito"" sin seleccionar un producto.",Mostrar un mensaje de Warning ? indicando que no hay productos seleccionados.,,,0,No se ejecutó ,Agregar productos al carrito,2,2025-01-03,General	
2-HU1-8,Colocar cantidades no válidas (caracteres o valores negativos),El usuario tiene productos en el carrito.,"1) 2. Editar las cantidades de los productos e ingresar valores como ""abc"" o -1.",Mostrar un mensaje de Warning ? indicando que la cantidad es inválida.,,,0,No se ejecutó ,Agregar productos al carrito,2,2025-01-03,General	
2-HU1-9,Eliminar un producto inexistente,El carrito está vacío.,1) 2. Intentar eliminar un producto cuando no hay productos en el carrito.,Como no hay productos en el carrito la opción de eliminar productos estará desactivada,,,0,No se ejecutó ,Agregar productos al carrito,2,2025-01-03,General	
2-HU1-10,Fallo al intentar agregar más productos que el inventario disponible,"Un producto tiene un inventario limitado (por ejemplo, 5 unidades disponibles).",1) 2. Seleccionar un producto y tratar de agregar más unidades al carrito de las disponibles en inventario.,Mostrar un mensaje de Warning ? indicando que no hay suficiente inventario para la cantidad seleccionada.,Mostrar un mensaje de Warning ? indicando que no hay suficiente inventario para la cantidad seleccionada.,,3,Ejecución exitosa,Agregar productos al carrito,2,2025-01-03,General	
2-HU1-11,Error al visualizar el carrito sin conexión a internet,El usuario tiene productos en el carrito.,1) 2. Deshabilitar la conexión a internet. 2) 3. Hacer clic en el ícono del carrito para ver los detalles.,Mostrar un mensaje de de Warning ? indicando que no hay conexión a internet,,,0,No se ejecutó ,Agregar productos al carrito,2,2025-01-03,General	
2-HU1-12,Fallo al intentar agregar un producto deshabilitado o fuera de stock,"Un producto está marcado como ""no disponible"" o ""fuera de stock"".",1) 2. Intentar agregar al carrito un producto deshabilitado o que no tiene inventario disponible.,"Agregar el producto al carrito con su descripción, precio y cotización pero debe mostrar un mensaje diciendo que el producto no está disponible para su compra.",,,3,Ejecución exitosa,Agregar productos al carrito,2,2025-01-03,General	
2-HU1-13,Editar múltiples productos en el carrito,Hay al menos dos productos en el carrito.,"1) 1. Acceder al carrito. 2) 2. Cambiar las cantidades de los productos (por ejemplo, producto 1: de 2 a 4, producto 2: de 1 a 3).","Las cantidades de ambos productos se actualizan correctamente, y el precio total refleja los cambios.","Las cantidades de ambos productos se actualizan correctamente, y el precio total refleja los cambios.",,3,Ejecución exitosa,Agregar productos al carrito,2,2025-01-03,General	
2-HU1-14,Cambiar un producto por otro en el carrito,Hay un producto en el carrito.,1) 1. Acceder al carrito. 2) 2. Editar un producto seleccionado y reemplazarlo por otro producto disponible.,"El producto original se reemplaza por el nuevo seleccionado, y el precio total se actualiza correctamente.","El producto original se reemplaza por el nuevo seleccionado, y el precio total se actualiza correctamente.",,3,Ejecución exitosa,Agregar productos al carrito,2,2025-01-03,General	
2-HU1-15,"Actualizar las opciones de un producto con variantes (color, tamaño, etc.)",Un producto con opciones (como color o tamaño) está en el carrito.,"1) 1. Acceder al carrito. 2) 2. Cambiar las opciones del producto (por ejemplo, color o tamaño).",Las opciones del producto se actualizan correctamente en el carrito.,Las opciones del producto se actualizan correctamente en el carrito.,,3,Ejecución exitosa,Agregar productos al carrito,2,2025-01-03,General	
2-HU1-16,Actualizar las cantidades al cambiar un producto por otro,Hay un producto en el carrito con cantidad especificada.,1) 1. Acceder al carrito. 2) 2. Cambiar el producto por otro y definir una nueva cantidad para el nuevo producto.,"El producto se reemplaza, la nueva cantidad se actualiza y el precio total refleja el cambio.","El producto se reemplaza, la nueva cantidad se actualiza y el precio total refleja el cambio.",,3,Ejecución exitosa,Agregar productos al carrito,2,2025-01-03,General	
2-HU1-17,Editar un producto en el carrito y mantener la unidad de medida visible,Un producto con una unidad de medida específica está en el carrito.,1) 1. Acceder al carrito. 2) 2. Cambiar el producto y verificar la unidad de medida.,La unidad de medida del nuevo producto se refleja correctamente.,La unidad de medida del nuevo producto se refleja correctamente.,,3,Ejecución exitosa,Agregar productos al carrito,2,2025-01-03,General	
2-HU1-18,"Editar un producto con un estado ""No disponible"" en el carrito","Un producto en el carrito aparece como ""No disponible"".",1) 1. Acceder al carrito. 2) 2. Reemplazar el producto agotado por otro disponible.,"El producto ""No disponible"" se elimina y se reemplaza por el nuevo producto.","El producto ""No disponible"" se elimina y se reemplaza por el nuevo producto.",,3,Ejecución exitosa,Agregar productos al carrito,2,2025-01-03,General	
2-HU1-19,Editar un producto y actualizar la cotización automáticamente,Hay un producto en el carrito asociado a una cotización.,1) 1. Cambiar un producto en el carrito por otro. 2) 2. Verificar el número de cotización.,El número de cotización permanece visible y los productos reflejan el cambio.,El número de cotización permanece visible y los productos reflejan el cambio.,,3,Ejecución exitosa,Agregar productos al carrito,2,2025-01-03,General	
2-HU2-1,Consultar Producto disponible con stock,Un producto tiene stock disponible.,1) 2. Consultar la página del producto.,Aparece la información del producto sin ninguna etiqueta,"Aparece la información del producto con una etiqueta de ""Disponible""",,3,Ejecución exitosa,Incluir disponibilidad de producto (Inventario),2,2025-01-03,General	
2-HU2-2,"Producto no disponible, con etiqueta adecuada",Un producto no tiene stock disponible.,1) 2. Consultar la página del producto.,"Aparece una etiqueta que indica ""No disponible"".","Aparece una etiqueta que indica ""No disponible"".",,3,Ejecución exitosa,Incluir disponibilidad de producto (Inventario),2,2025-01-03,General	
2-HU2-3,Producto no disponible con fecha pronóstico visible,Un producto no tiene stock y tiene una fecha pronóstico registrada.,1) 2. Consultar la página del producto.,Se muestra un mensaje indicando la fecha pronóstico de disponibilidad del producto.,,,1,El componente no esta listo,Incluir disponibilidad de producto (Inventario),2,2025-01-03,General	
2-HU2-4,Cambio dinámico de la disponibilidad del producto,Un producto cambia su estado de disponibilidad (de no disponible a disponible o viceversa).,1) 2. Actualizar la página del producto después de un cambio en su disponibilidad.,La etiqueta y el mensaje de disponibilidad reflejan el nuevo estado del producto (Si está disponible no muestra una etiqueta),,,0,No se ejecutó ,Incluir disponibilidad de producto (Inventario),2,2025-01-03,General	
2-HU2-5,Posibilidad de agregar un producto no disponible al carrito,"Un producto está marcado como ""No disponible"".",1) 2. Agregar el producto al carrito haciendo clic en el botón correspondiente.,"El botón de ""Agregar al carrito"" debe estar habilitado y permitir visualizar la información del producto en el carrito","El botón de ""Agregar al carrito"" esta habilitado y permite visualizar la información del producto en el carrito",,3,Ejecución exitosa,Incluir disponibilidad de producto (Inventario),2,2025-01-03,General	
2-HU3-1,Visualización de productos disponibles con detalles técnicos,El sistema tiene productos disponibles con sus detalles técnicos registrados.,1) 2. Acceder a la sección de productos disponibles. 2) 3. Revisar la información de cada producto.,"Todos los productos disponibles se muestran con sus detalles técnicos (ejemplo: dimensiones, material, peso, etc.) claramente visibles.","Los productos están agrupados por categoría, facilitando su consulta.",,3,Ejecución exitosa,Configurar el resto de los productos,2,2025-01-07,General	
2-HU3-2,Visualización de detalles técnicos de un producto no disponible,,"1) 1. Acceder a la lista de productos. 2) 2. Seleccionar un producto marcado como ""No disponible"".",Los detalles técnicos del producto no disponible son visibles y están completos.,"Los productos están agrupados por categoría, facilitando su consulta.",,3,Ejecución exitosa,Configurar el resto de los productos,2,2025-01-07,General	
2-HU3-3,Visualización de imágenes para cada producto,El sistema tiene imágenes asociadas a cada producto disponible.,1) 1. Acceder a la sección de productos disponibles. 2) 2. Verificar que cada producto tenga una imagen asociada.,Cada producto tiene una imagen visible que corresponde a su descripción.,Esta caso de prueba no se puede probar porque las imagenes solo aparecen en las categorias (Revisar),,0,No se ejecutó ,Configurar el resto de los productos,2,2025-01-07,General	
2-HU3-4,Productos ordenados por categoría,,"1) 1. Los productos están categorizados en el sistema (por ejemplo, tubos, varillas, etc..). 2) 2. Revisar que los productos estén organizados por categoría.","Los productos están agrupados por categoría, facilitando su consulta.","Los productos están agrupados por categoría, facilitando su consulta.",,3,Ejecución exitosa,Configurar el resto de los productos,2,2025-01-07,General	
2-HU3-5,Carga completa de todos los productos disponibles,El sistema tiene más de X productos disponibles.,1) 1. Acceder a la sección de productos disponibles. 2) 2. Realizar scroll o navegar por todas las páginas de productos.,Todos los productos disponibles son cargados sin errores y con sus detalles técnicos e imágenes.,Todos los productos disponibles son cargados sin errores y con sus detalles técnicos e imágenes.,,3,Ejecución exitosa,Configurar el resto de los productos,2,2025-01-07,General	
2-HU4-1,Agregar un producto no disponibles a la lista de espera,"Un producto está marcado como ""No disponible"".","1) 1. Seleccionar un producto no disponible. 2) 2. Hacer clic en ""Agregar a lista de espera"".",El producto se agrega correctamente a la lista de espera del cliente.,,El producto se agrega correctamente a la lista de espera del cliente.,1,El componente no esta listo,Inventario producto no disponible,2,2025-01-07,General	
2-HU4-2,Visualización de la lista de espera por el cliente,El cliente tiene productos en la lista de espera.,"1) 1. Acceder al perfil del cliente. 2) 2. Navegar a la sección ""Lista de espera"".",La lista de espera del cliente se muestra con los productos agregados.,,,1,El componente no esta listo,Inventario producto no disponible,2,2025-01-07,General	
2-HU4-3,Visualización de la lista de espera por los administradores,Existen productos en la lista de espera de varios clientes.,"1) 1. Acceder al portal de administración. 2) 2. Consultar la sección ""Listas de espera"".",Los administradores pueden ver las listas de espera de todos los clientes.,,,1,El componente no esta listo,Inventario producto no disponible,2,2025-01-07,General	
